audio_source,audio_path,sampling_rate,transcript,toxicity,split,toxic_spans_text,BIO_Tag,start_sec,end_sec,duration,__row_id,pseudo_speaker_id,duration_recomputed
fosd,fosd_17042.wav,16000,"Khi diễn rock cần phải đầu tư âm thanh, ánh sáng rất kỹ.",0,train,[],[],,,3.384,18,SPEAKER_00211,3.384
vitosa,vitosa_train_3797.wav,16000,xong biết tao ngồi một buổi đó nữa tao ngồi địt mẹ nói chuyện qua lại tiếp ngồi lôi co tiếp địt mẹ mày ngồi kiểu như chém gió xàm lồn y như là ra quán cà phê ngồi xàm lồn hai thằng xàm lồn vậy á,1,train,[],[],,,10.286625,19,,10.286625
fosd,fosd_9740.wav,16000,các cơ tay và chân tôi đau,0,external_non_toxic,[],[],,,1.8,20,SPEAKER_00096,1.8
vitosa,vitosa_train_4842.wav,16000,đó thấy hông đụ má phận đàn bà mười hai bến nước mười ba bến nước nó đàn ông nó hổng lo được cho mày mà mày phải lo ngược lại cho nó nữa,1,train,[],[],,,8.701,21,,8.701
fosd,fosd_1030.wav,16000,chủ một cửa hàng trang trí nội thất trên đường Nguyễn Bỉnh Khiêm cho biết mùa nóng là mùa của mặt hàng quả cầu hút nhiệt tôn pu và sơn chống nóng,0,external_non_toxic,[],[],,,7.848,22,SPEAKER_00230,7.848
vitosa,vitosa_train_2944.wav,16000,thả ra thằng chó,1,train,[],[],,,3.7758125,23,,3.7758125
vitosa,vitosa_train_1819.wav,16000,và tao hết cái hồn tao nghĩ mấy thằng lồn đừng có xả súng nha,1,train,[],[],,,8.7390625,24,,8.7390625
fosd,fosd_23813.wav,16000,"Nhắc đến vợ con , giọng Tuấn hơi chùng xuống .",0,validation,[],[],,,3.216,25,SPEAKER_00284,3.216
vitosa,vitosa_train_171.wav,16000,khùng quá à tự nhiên remake anh em con cặc gì,1,train,[],[],,,3.4481875,26,,3.4481875
fosd,fosd_4509.wav,16000,niềm vui của các tay vợt pháp,0,external_non_toxic,[],[],,,4.296,27,SPEAKER_00463,4.296
vitosa,vitosa_train_497.wav,16000,chết mẹ mày rồi con ạ địt con mẹ mày bố mày chỉ đợi để giết mày thôi mày biết không chó này,1,train,[],[],,,6.85825,28,,6.85825
retrieval,eUFVxaNfhzA_13.wav,16000,,0,train,[],[],,,5.564,29,SPEAKER_01491,5.564
fosd,fosd_19435.wav,16000,"Tiền lúc này không giải quyết được vấn đề , bởi tất cả đã quá muộn .",0,validation,[],[],,,4.536,30,SPEAKER_00355,4.536
fosd,fosd_6518.wav,16000,vòi sen gần nhất ở đâu,0,external_non_toxic,[],[],,,1.728,31,SPEAKER_00332,1.728
retrieval,eZzbPdsQtXU_24.wav,16000,,0,train,[],[],1181.698,1185.374,3.676,32,SPEAKER_00939,3.676
vitosa,vitosa_train_6082.wav,16000,địt mẹ nó,1,train,[],[],,,3.805,33,,3.805
vitosa,vitosa_test_1198.wav,16000,ý là địt mẹ mày zalo cái lồn zalo địt mẹ mày,1,test,"['địt mẹ mày', 'lồn', 'địt mẹ mày']","['O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'O', 'B-T', 'O', 'B-T', 'I-T', 'I-T']",,,3.445,34,,3.445
fosd,fosd_7840.wav,16000,anh có thể nhuộm tóc màu nâu không,0,external_non_toxic,[],[],,,1.992,35,SPEAKER_00077,1.992
fosd,fosd_21797.wav,16000,"Đậu đỗ rất dễ chế biến , có thể xào , luộc đều được .",0,external_non_toxic,[],[],,,4.824,36,SPEAKER_01134,4.824
fosd,fosd_6318.wav,16000,đề án đổi mới cơ chế tài chính trong giáo dục đào tạo,0,external_non_toxic,[],[],,,3.288,37,SPEAKER_00520,3.288
fosd,fosd_21370.wav,16000,"Xe có hai chỗ ngồi phía trước , với thùng chứa thư từ , sách báo .",0,train,[],[],,,9.24,38,SPEAKER_00926,9.24
fosd,fosd_18094.wav,16000,"Nhưng cuộc sống không thể thiếu nỗi buồn , rất tiếc .",0,train,[],[],,,3.936,39,SPEAKER_00209,3.936
vitosa,vitosa_train_4032.wav,16000,hình dáng thân thể của mình thì đâu có dọng quần què để mà mập mập kệ mẹ tụi bây liên quan,1,train,[],[],,,5.26475,40,,5.26475
fosd,fosd_4493.wav,16000,cưỡng bức bạn gái để níu kéo tình yêu,0,external_non_toxic,[],[],,,2.376,41,SPEAKER_03845,2.376
vitosa,vitosa_train_5579.wav,16000,địt mẹ tao phải minh popper lồn đâu địt con mẹ mày lừa thế lồn nào được bố mày,1,train,[],[],,,7.2815,42,,7.2815
common_voice,cv_10.wav,16000,Đi qua góc phố tháng mười,0,validation,[],[],,,3.78,43,SPEAKER_02763,3.78
retrieval,fMfos_YBT0o_1.wav,16000,,0,train,[],[],,,9.02,44,SPEAKER_01442,9.02
fosd,fosd_8225.wav,16000,điều gì khiến bạn đến trễ vậy,0,external_non_toxic,[],[],,,2.016,45,SPEAKER_00261,2.016
fosd,fosd_23608.wav,16000,"Máy quay phim nhựa , bàn dựng phim nhựa , kinh phí làm bài tập phim nhựa không có .",0,train,[],[],,,5.976,46,SPEAKER_00158,5.976
vitosa,vitosa_test_486.wav,16000,lúc nào mà mình không có chiến thắng được cái tôi của mình thì lúc đó mình sẽ sống trong thế giới của sự ích kỷ mà ích kỷ có nghĩa là.,0,test,[],[],,,7.0,47,,7.0
fosd,fosd_458.wav,16000,các hoa hậu xuất hiện trong màn mở đầu,0,external_non_toxic,[],[],,,3.024,48,SPEAKER_00339,3.024
retrieval,eUFVxaNfhzA_63.wav,16000,,0,train,[],[],,,4.7,49,SPEAKER_01192,4.7
fosd,fosd_7578.wav,16000,tốt hơn chúng ta nhanh lên,0,external_non_toxic,[],[],,,2.76,50,SPEAKER_02680,2.76
retrieval,ONBa0kwBjmQ_20.wav,16000,,0,train,[],[],,,9.148,51,SPEAKER_00035,9.148
fosd,fosd_22436.wav,16000,Xuất khẩu cà phê Colombia tháng 8 thấp nhất trong 23 năm.,0,train,[],[],,,4.584,52,SPEAKER_00507,4.584
vitosa,vitosa_train_1464.wav,16000,dơ cái tay ra đi tao không có sợ mày đâu mà mày ấy cái tướng mày đụ,1,train,[],[],,,8.8336875,53,,8.8336875
fosd,fosd_487.wav,16000,bạn có kiểu giống thế này màu nâu không,0,external_non_toxic,[],[],,,2.496,54,SPEAKER_00481,2.496
vitosa,vitosa_train_4626.wav,16000,đụ má mày nó đi thẳng lên đây luôn  petland nó đi thẳng lên đây luôn petland ơi,1,train,[],[],,,6.463625,55,,6.463625
vitosa,vitosa_train_5534.wav,16000,đàn ông là phải gân guốc làm việc nặng chứ đàn ông mà cả ngày ở nhà thì làm mấy cái việc nhẹ nhàng của phụ nữ thế thì khác mẹ gì cái thằng đàn bà đâu đúng hông,1,train,[],[],,,7.850875,56,,7.850875
vitosa,vitosa_train_6747.wav,16000,một hồi hai nữa sướng vãi lồn con bé sắp nứng thăng hoa rụng lồn rồi còn thằng lồn chắc cũng vậy rồi hai đứa đụ nhau,1,train,[],[],,,6.72425,57,,6.72425
fosd,fosd_2949.wav,16000,về mặt kỷ cương hành chính không thể chấp nhận,0,train,[],[],,,3.384,58,SPEAKER_00218,3.384
vitosa,vitosa_train_7618.wav,16000,Tui cao hai mét địt mẹ thì tất nhiên cái khung xương tui phải to rồi mặc cái đồ nhỏ như vậy kiểu cảm giác nó không có được thoải mái,1,train,[],[],,,9.62725,59,,9.62725
vitosa,vitosa_train_6432.wav,16000,em nói ai đĩ trời ơi đĩ như em mới là đĩ không có giấy phép đĩ của chị là có giấy phép,1,train,[],[],,,3.853,60,,3.853
fosd,fosd_463.wav,16000,còn thọ đang bị công an tạm giữ,0,train,[],[],,,4.08,61,SPEAKER_00027,4.08
fosd,fosd_15904.wav,16000,"Ngược lại , các loại hình dịch vụ vay giúp , vay nóng được dịp nở rộ .",0,validation,[],[],,,5.664,62,SPEAKER_00196,5.664
vitosa,vitosa_train_5538.wav,16000,địt mẹ anh chơi đọc pass cái quần què dì hết trơn mà tụi nó làm lẹ dữ dậy,1,train,[],[],,,5.773,63,,5.773
fosd,fosd_18764.wav,16000,tôi nghĩ ai đó đã đột nhập vào phòng tôi,0,validation,[],[],,,4.032,64,SPEAKER_00075,4.032
vitosa,vitosa_test_1336.wav,16000,cái này là các bạn không hiểu rất nhiều công ty việt nam bảo rằng là thưa thầy em chỉ có một cách là em xuống.,0,test,[],[],,,7.0,65,,7.0
vitosa,vitosa_train_287.wav,16000,you see yeah you don't know how to play Cypher he say see con mẹ mày bắn đi bắn Cypher,1,train,[],[],,,7.813,66,,7.813
vitosa,vitosa_train_955.wav,16000,sao tui mệt con cặc tui ghê thiệt chứ alo tối nay đi bar ok ok,1,train,[],[],,,11.677,67,,11.677
vitosa,vitosa_train_6305.wav,16000,ồ cái là giơ dới tay cầm nắm là cái lồn gì,1,train,[],[],,,4.1756875,68,,4.1756875
vitosa,vitosa_train_4955.wav,16000,tui đi ha có một phút dô cũng bị đòi lập biên bản tui còn con chó đi ba chục phút á thì đéo chịu lập sống dậy đéo công bằng đâu đéo có ai nể đâu,1,train,[],[],,,12.085,69,,12.085
vitosa,vitosa_validation_970.wav,16000,tụi bây chống cộng tụi bây chống cái đĩ mẹ tụi bây cộng đồng sống ở nước mỹ này về việt nam mà chống cộng,1,validation,[],[],,,5.8655625,70,,5.8655625
vitosa,vitosa_train_1520.wav,16000,bây giờ thầy ỉa là không cần rặn luôn á lỗ đít của thầy là em em hiểu được cái lỗ đít của thầy nó giãn nở cỡ nào rồi hồi lúc thầy chơi toàn là địt mẹ trai cu bự không cho nên,1,train,[],[],,,13.4486875,71,,13.4486875
vitosa,vitosa_train_7437.wav,16000,gia banh nó mổ nó mẻ chẻ tan cái lồn mẹ mày ra đúng hông chim khôn thì nói tiếng rảnh rang người khôn thì nói chuyện dịu dàng dễ nghe cái con đĩ mẹ nó bảo không nghe,1,train,[],[],,,8.0925,72,,8.0925
vitosa,vitosa_train_4233.wav,16000,toàn những thằng bảy tám mươi tuổi chửi nhau hơn chó với mèo,1,train,[],[],,,3.7496875,73,,3.7496875
vitosa,vitosa_test_834.wav,16000,thực ra còn bây giờ thì thúy minh nhiều khi chỉ mong muốn như một cái người học trò tức lắm.,0,test,[],[],,,7.0,74,,7.0
fosd,fosd_15927.wav,16000,"Lúc chờ kết quả thi , ngành Công an về tuyển , ông tham gia và đậu .",0,validation,[],[],,,5.136,75,SPEAKER_00196,5.136
fosd,fosd_17285.wav,16000,"Nghĩ thế , Hoàn dự trù sẽ phải mất mười lăm , hai mươi phút mới ra đến đó .",0,train,[],[],,,6.192,76,SPEAKER_00751,6.192
vitosa,vitosa_test_1593.wav,16000,từ nhỏ ờ tuy nhiên là cha mẹ thầy thì khá phóng khoáng cho thầy được cái sự lựa chọn từ hồi mười ba mười bốn tuổi mà.,0,test,[],[],,,7.0,77,,7.0
common_voice,cv_2929.wav,16000,Tôi đang đi với cô ấy mà tôi đang,0,validation,[],[],,,4.428,78,SPEAKER_00082,4.428
retrieval,mp6jA2Zd8Js_101.wav,16000,,0,train,[],[],1858.978,1871.678,12.7,79,SPEAKER_02641,12.7
fosd,fosd_1023.wav,16000,chứng khoán châu Âu trượt giảm phiên thứ bốn liên tiếp cổ phiếu khối khai thác mất điểm,0,external_non_toxic,[],[],,,7.368,80,SPEAKER_01364,7.368
vitosa,vitosa_test_1340.wav,16000,năm mươi nghìn đồng hả tao xin phép địt con mẹ mày nha thằng lồn cảm ơn ông vì năm mươi nghìn đồng nha đến mày nha bd địt địt địt địt dịt địt địt địt,1,test,"['địt con mẹ mày', 'thằng lồn', 'địt địt địt địt dịt địt địt địt']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T']",,,9.601125,81,,9.601125
fosd,fosd_14939.wav,16000,"Tiếp tục chờ một lúc lâu , chúng tôi mới được gọi vào máy đo ngồi .",0,train,[],[],,,7.704,82,SPEAKER_00031,7.704
vitosa,vitosa_validation_1974.wav,16000,của mình chứ ừ thế là câu đấy nghe nó hơi phô em vừa thế là câu đấy nghe nó hơi phơ nó hơi theo một cái tính đúng kiểu là nghe mình khệnh vãi lồn ấy xong bắt đầu nói,1,validation,[],[],,,11.12725,83,,11.12725
vitosa,vitosa_train_1648.wav,16000,tướng thì cao to cặc có chút lí chính là thằng trí,1,train,[],[],,,5.1265,84,,5.1265
vitosa,vitosa_train_3607.wav,16000,quao sao ezreal đánh ghê dữ dợ cái lồn má thằng ezreal này nó đánh nó đánh cháy máy dữ dậy ta,1,train,[],[],,,8.9219375,85,,8.9219375
vitosa,vitosa_train_2782.wav,16000,anh anh mệt quá anh chịu hết nổi rồi anh ở dô trong bệnh viện dô đụ má mày nó chích truyền hai chai nước biển nằm ở đó dật dở hình như là hai dờ dô rồi xong,1,train,[],[],,,9.444625,86,,9.444625
fosd,fosd_15886.wav,16000,"Vì vậy , phát triển trồng trọt , nuôi trồng tại đây sẽ thuận lợi .",0,validation,[],[],,,4.536,87,SPEAKER_00196,4.536
fosd,fosd_17747.wav,16000,tôi có thể mua viên thuốc dạ dày nào ở đây không,0,train,[],[],,,3.744,88,SPEAKER_05225,3.744
fosd,fosd_24746.wav,16000,"Tưởng mọi chuyện sẽ dừng lại ở đó , nhưng không !",0,train,[],[],,,3.864,89,SPEAKER_05225,3.864
vitosa,vitosa_validation_1873.wav,16000,hai lít đi luôn đi a nắng quá địt mẹ mày đứng từ trưa đến giờ,1,validation,[],[],,,3.1234375,90,,3.1234375
vitosa,vitosa_test_950.wav,16000,ây da đụ má thằng chó đẻ này nó ăn cứt hay gì dậy trời tối ngày lên mạng kêu người ta con người ta chụp chim cho mày coi quài dợ,1,test,"['đụ má thằng chó đẻ', 'cứt']","['O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,7.4093125,91,,7.4093125
fosd,fosd_13416.wav,16000,ti vi chuyển VTV một,0,external_non_toxic,[],[],,,2.184,92,SPEAKER_00930,2.184
fosd,fosd_11572.wav,16000,bà có bán kính râm không,0,external_non_toxic,[],[],,,1.752,93,SPEAKER_00494,1.752
fosd,fosd_21267.wav,16000,"Những ngày sau đó , cháu luôn kêu đau đầu , sốt .",0,external_non_toxic,[],[],,,5.16,94,SPEAKER_02132,5.16
vitosa,vitosa_train_4800.wav,16000,tao đéo bao giờ về cái nhà nghèo nhà dẻ rách nữa bố mày quá nhục quá cay ở trong nhà rồi,1,train,[],[],,,7.021,95,,7.021
fosd,fosd_8924.wav,16000,tình yêu và hạnh phúc đã đến với cô,0,train,[],[],,,3.792,96,SPEAKER_00159,3.792
fosd,fosd_15303.wav,16000,tôi muốn trả phòng ngay bây giờ phòng của tôi là hai không năm,0,train,[],[],,,5.304,97,SPEAKER_00154,5.304
fosd,fosd_15168.wav,16000,"Thường mỗi lần ghi hình xong , các nhân vật rất quyến luyến với tôi .",0,train,[],[],,,5.736,98,SPEAKER_00031,5.736
fosd,fosd_16304.wav,16000,bạn có thể giúp đỡ tôi đặt trước khách sạn không,0,train,[],[],,,2.808,99,SPEAKER_00211,2.808
fosd,fosd_21363.wav,16000,"Chén trong sóng còn khua , có vợ chồng nào mà va chạm .",0,train,[],[],,,6.648,100,SPEAKER_00392,6.648
fosd,fosd_978.wav,16000,và vui lòng thắt dây an toàn của quý khách,0,train,[],[],,,4.44,101,SPEAKER_00041,4.44
fosd,fosd_20594.wav,16000,"Lượng giao dịch cầm chừng , chủ yếu là thăm dò thị trường .",0,train,[],[],,,5.136,102,SPEAKER_00639,5.136
retrieval,5kfLCjQhB9E_11.wav,16000,,0,train,[],[],,,8.38,103,SPEAKER_01073,8.38
vitosa,vitosa_train_6947.wav,16000,bắc kỳ biến mẹ mày ra khỏi ngoài bắc nghe chưa trong này là đất của miền nam tụi tao nghe chưa nghe chưa,1,train,[],[],,,10.183375,104,,10.183375
retrieval,w_Fr7m0rntQ_43.wav,16000,,0,train,[],[],,,4.604,105,SPEAKER_03523,4.604
common_voice,cv_2542.wav,16000,Có cứng mới đứng đầu gió: phải tài giỏi mới gánh nổi việc khó,0,validation,[],[],,,6.768,106,SPEAKER_00358,6.768
fosd,fosd_22482.wav,16000,"Không biết có bằng sharp nhà ta không, cho nhận xét nhé!",0,train,[],[],,,4.656,107,SPEAKER_00078,4.656
fosd,fosd_2530.wav,16000,trông bạn giống Tom Cruise,0,external_non_toxic,[],[],,,2.328,108,SPEAKER_04243,2.328
vitosa,vitosa_train_4857.wav,16000,địt con mẹ ủa ủa sao này ăn ăn con red mà ổng dẫn level một là sao ổng có trừng phạt mà,1,train,[],[],,,9.733,109,,9.733
fosd,fosd_20770.wav,16000,"Nguyễn Chiến Thắng cùng đồng bọn chạy ra xe , mở cốp lấy khẩu súng tự chế .",0,external_non_toxic,[],[],,,5.784,110,SPEAKER_00300,5.784
vitosa,vitosa_test_118.wav,16000,thì mình giấu cái trầm cảm đó đi mình đem chút tài năng mình ra nhá nhá.,0,test,[],[],,,7.0,111,,7.0
common_voice,cv_604.wav,16000,lúc đi qua ngã ba,0,validation,[],[],,,3.096,112,SPEAKER_04003,3.096
vitosa,vitosa_train_5712.wav,16000,đụ mẹ mày tối ngày mày chơi mày chửi hết người này tới người kia,1,train,[],[],,,4.189,113,,4.189
common_voice,cv_578.wav,16000,Anh đang lo cho cả em đấy sao,0,validation,[],[],,,3.312,114,SPEAKER_04639,3.312
fosd,fosd_12399.wav,16000,cơ trưởng nói về nhiệt độ,0,external_non_toxic,[],[],,,1.944,115,SPEAKER_04633,1.944
retrieval,mp6jA2Zd8Js_99.wav,16000,,0,train,[],[],54.818,57.246,2.428,116,SPEAKER_01690,2.428
retrieval,0qYT7he8-hk_78.wav,16000,,0,train,[],[],58.562,62.462,3.9,117,SPEAKER_00558,3.9
fosd,fosd_8902.wav,16000,Tokyo không ba ba hai chín một năm tám ba năm bà Harada,0,external_non_toxic,[],[],,,4.536,118,SPEAKER_01262,4.536
vitosa,vitosa_test_1424.wav,16000,anh vác con cặc nãy giờ ngồi đây bao nhiêu người đi qua nhìn đấy thấy chưa giờ sao có người có người anh em ơi,1,test,['con cặc'],"['O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,11.3789375,119,,11.3789375
fosd,fosd_4912.wav,16000,ủa anh ấy đi đâu rồi,0,external_non_toxic,[],[],,,1.92,120,SPEAKER_02892,1.92
vitosa,vitosa_test_887.wav,16000,con đĩ mẹ mày im đi con cặc đụ má lúc nào cũng xăm trổ đụ má mày khoe đụ má giang hồ nó chém chết mẹ mày giờ bây giờ mày biết make như con chó này lúc nào cũng gõ đụ,1,test,"['con đĩ mẹ mày', 'con cặc đụ má', 'xăm trổ đụ má mày', 'đụ má', 'chém chết mẹ mày', 'con chó', 'đụ']","['B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'B-T']",,,6.21825,121,,6.21825
fosd,fosd_24978.wav,16000,"Các bạn lên tiếng phê phán , chỉ trích anh Hưng nhiều quá .",0,train,[],[],,,4.656,122,SPEAKER_01985,4.656
retrieval,qXHma6XYctI_125.wav,16000,,0,train,[],[],,,4.796,123,SPEAKER_02679,4.796
vitosa,vitosa_train_5329.wav,16000,anh không phải em đơn giản vì anh ngu như chó thêm lần để anh bớt ngu ra,1,train,[],[],,,4.693,124,,4.693
retrieval,y-6gIUvZ6f4_33.wav,16000,,0,train,[],[],,,6.62,125,SPEAKER_00035,6.62
retrieval,jRU0twOCBeQ_67.wav,16000,,0,train,[],[],,,5.308,126,SPEAKER_01653,5.308
fosd,fosd_24212.wav,16000,vậy tôi gợi ý bạn nên thử anchor inn ở seaside drive,0,external_non_toxic,[],[],,,7.32,127,SPEAKER_00156,7.32
vitosa,vitosa_train_7650.wav,16000,tào lao thiệt đó địt mẹ mày đéo có dính tới hera đâu nha,1,train,[],[],,,3.7496875,128,,3.7496875
vitosa,vitosa_train_6959.wav,16000,ông lùn xịch đâu đó hả đụ má hai thằng kia tụi mày nói ai mập ai lùn hây da,1,train,[],[],,,4.621,129,,4.621
fosd,fosd_17901.wav,16000,"Chiều về tối , muỗi ruồi vo ve liên hồi .",0,external_non_toxic,[],[],,,3.144,130,SPEAKER_04718,3.144
fosd,fosd_23213.wav,16000,"Tuy nhiên , sau khi trở ra phía ngoài , Đường bị phát hiện .",0,external_non_toxic,[],[],,,5.664,131,SPEAKER_00336,5.664
vitosa,vitosa_train_3670.wav,16000,uy tín địt mẹ mày mấy con lợn tiktok này cút bố mày đi,1,train,[],[],,,4.8064375,132,,4.8064375
fosd,fosd_23255.wav,16000,"Đúng , tôi thấy rằng điều đó là tất yếu .",0,external_non_toxic,[],[],,,3.768,133,SPEAKER_03049,3.768
fosd,fosd_11650.wav,16000,anh có thể nói với anh ấy rằng tôi gọi điện vào lúc tám giờ không,0,train,[],[],,,4.968,134,SPEAKER_00202,4.968
vitosa,vitosa_train_2277.wav,16000,hôi lông hả gì kì vậy mấy thằng chó tụi mày hôi lông á tụi mày hôi lông á tụi mày á,1,train,[],[],,,9.601125,135,,9.601125
retrieval,C-elZKgdjmI_81.wav,16000,,0,train,[],[],647.554,651.038,3.484,136,SPEAKER_00035,3.484
retrieval,-FRml4AVPB4_36.wav,16000,,0,train,[],[],2132.034,2141.726,9.692,137,SPEAKER_02129,9.692
fosd,fosd_23730.wav,16000,"Riêng Hong Kong phát triển lâu rồi , thì họ cho bán nhưng thu lại chênh lệch .",0,validation,[],[],,,8.496,138,SPEAKER_00284,8.496
vitosa,vitosa_validation_314.wav,16000,đi vào nhanh lên địt mẹ cút vào hông vào đi nhanh lên,1,validation,[],[],,,6.637625,139,,6.637625
vitosa,vitosa_test_1876.wav,16000,hướng tới đối tượng để giải quyết vấn đề chúng ta có một niềm tin chắc mẻm là chúng ta đủ sức để.,0,test,[],[],,,7.0,140,,7.0
fosd,fosd_22084.wav,16000,"Còn chuyện tình cảm , thì sau này cũng sẽ đến thôi .",0,external_non_toxic,[],[],,,3.024,141,SPEAKER_04283,3.024
fosd,fosd_12085.wav,16000,gà tây bánh nướng thịt riêng,0,external_non_toxic,[],[],,,2.376,142,SPEAKER_01783,2.376
fosd,fosd_11953.wav,16000,anh cho tôi vào một khu vực không hút thuốc được không,0,external_non_toxic,[],[],,,3.888,143,SPEAKER_01015,3.888
retrieval,yWzBn8fVY0Q_18.wav,16000,,0,train,[],[],804.482,809.47,4.988,144,SPEAKER_01051,4.988
fosd,fosd_20810.wav,16000,"Bắt đầu từ giây phút đó , tôi và anh quay lại với nhau .",0,external_non_toxic,[],[],,,4.944,145,SPEAKER_01499,4.944
retrieval,eoHsqzSf8PQ_14.wav,16000,,0,train,[],[],1462.562,1473.822,11.26,146,SPEAKER_00035,11.26
vitosa,vitosa_train_6749.wav,16000,vãi lồn luôn đầu cắt moi ha ha ha ha,1,train,[],[],,,5.677,147,,5.677
vitosa,vitosa_validation_1383.wav,16000,thôi anh chơi trốn tìm tao đang hỏi mày ra ngoài mày địt mày ai đi xong rồi mày bỏ con mày lại cho tao coi coi,1,validation,[],[],,,7.1194375,148,,7.1194375
fosd,fosd_17050.wav,16000,"Mỗi năm có hàng trăm thứ phải quyên góp , ủng hộ đã đủ mệt mỏi lắm rồi .",0,train,[],[],,,4.08,149,SPEAKER_00211,4.08
vitosa,vitosa_train_8452.wav,16000,bạch cốt tinh thì kiểu thần kinh chuột tinh thì tái như kiểu đi đánh thằng bố bố nội nhà mày đang cầm búa sóc lọ mày nghe rõ chưa hả biến mẹ nhà mày đi,1,train,[],[],,,9.170625,150,,9.170625
